127.0.0.1, 2017-01-26 09:40:09, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000414
127.0.0.1, 2017-01-26 09:40:09, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000296
127.0.0.1, 2017-01-26 09:40:09, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000328
127.0.0.1, 2017-01-26 09:40:09, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000437
127.0.0.1, 2017-01-26 09:40:16, GET, /, HTTP/1.1, 303, 0.000326
127.0.0.1, 2017-01-26 09:40:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.022995
127.0.0.1, 2017-01-26 09:40:22, GET, /admin/default/site, HTTP/1.1, 200, 0.045178
127.0.0.1, 2017-01-26 09:40:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000269
127.0.0.1, 2017-01-26 09:40:31, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.226654
127.0.0.1, 2017-01-26 09:40:31, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.000453
127.0.0.1, 2017-01-26 09:40:31, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000450
127.0.0.1, 2017-01-26 09:40:31, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.000451
127.0.0.1, 2017-01-26 09:40:31, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.000435
127.0.0.1, 2017-01-26 09:40:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000248
127.0.0.1, 2017-01-26 09:41:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000204
127.0.0.1, 2017-01-26 09:41:19, GET, /admin/default/peek/examples/controllers/appadmin.py, HTTP/1.1, 200, 0.130313
127.0.0.1, 2017-01-26 09:41:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000307
127.0.0.1, 2017-01-26 10:21:35, GET, /admin/default/index, HTTP/1.1, 303, 0.008662
127.0.0.1, 2017-01-26 10:21:35, GET, /admin/default/site, HTTP/1.1, 200, 0.038648
127.0.0.1, 2017-01-26 10:21:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000277
127.0.0.1, 2017-01-26 10:21:39, GET, /admin/default/site, HTTP/1.1, 200, 0.054220
127.0.0.1, 2017-01-26 10:21:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000359
